from;to;relation;year
VE;B26J;Unterstützer;1957
VE;RC;Liebesbeziehung;1957
HS;KUB;Aufenthalt ;1957
HS;B26J;Unterstützer;1957
HS;AH;Liebesbeziehung;1957
AH;KUB;Aufenthalt ;1957
AH;B26J;Unterstützer;1957
CS;KUB;Aufenthalt ;1957
CS;B26J;Unterstützer;1957
AH;ECG;Bekanntschaft;1957
CS;ECG;Bekanntschaft;1957
VE;ECG;Bekanntschaft;1957
FP;KUB;Aufenthalt ;1957
FP;B26J;Unterstützer;1957
FP;ECG;Bekanntschaft;1957
AH;FP;Bekanntschaft;1956
CS;FP;Bekanntschaft;1956
AH;FP;Bekanntschaft;1957
CS;FP;Bekanntschaft;1957
FP;FC;Bekanntschaft;1956
FP;FC;Bekanntschaft;1957
HM;KUB;Aufenthalt ;1957
JP;KUB;Aufenthalt ;1957
HM;FC;Bekanntschaft;1957
JP;FC;Bekanntschaft;1957
HM;JP;Bekanntschaft;1957
JP;B26J;Unterstützer;1957
HM;B26J;Unterstützer;1957
EA;B26J;Unterstuetzer;1957
EA;KUB;Aufenthalt;1957
CF;EG;Bekanntschaft;1957
MF;ECG;Bekanntschaft;1957
M;B26J;Unterstuetzer;1957
M;KUB;Aufenthalt;1957
G;B26J;Unterstuetzer;1957
G;KUB;Aufenthalt;1957
S;B26J;Unterstuetzer;1957
S;KUB;Aufenthalt;1957
RD;B26J;Unterstuetzer;1957
RD;KUB;Aufenthalt;1957
E;B26J;Unterstuetzer;1957
E;KUB;Aufenthalt;1957
CR;B26J;Unterstuetzer;1957
CR;KUB;Aufenthalt;1957
CR;ECG;Bekanntschaft;1957
EM;KUB;Aufenthalt ;1957
EM;B26J;Unterstützer;1957
EM;ECG;Bekanntschaft;1957
DT;KUB;Aufenthalt ;1957
DT;B26J;Unterstützer;1957
JS;KUB;Aufenthalt ;1957
JS;B26J;Unterstützer;1957
ABA;KUB;Aufenthalt;1956
ABA;B26J;Unterstützer;1953
ABS;MEX;Unterstützer;1952
AEB;KUB;Aufenthalt;1952
AM;B26J;Unterstützer;1957
ANL;B26J;Unterstützer;1957
CAT;KUB;Aufenhalt;1953
CB;B26J;Unterstützer;1952
CB;MEX;Aufenthalt;NA
CB;ECG;Bekanntschaft;NA
CCF;B26J;Unterstützer;1957
CCF;KUB;Aufenthalt;NA
CFRA;CHI;Aufenthalt;NA
CFRA;ECG;Bekanntschaft;NA
CFR;KUB;Aufenthalt;1957
CFR;B26J;Unterstützer;1957
CGF;MEX;Aufenthalt;1954
CGF;BOV;Aufenthalt;NA
CGF;B26J;Unterstützer;1957
CH;NA;Unterstützer;NA
CR;GUA;Aufenthalt;1954
DA;MEX;Aufenthalt;1956
DA;ECG;Unterstützer;1956
DHP;KUB;Aufenthalt;1958
DHP;ECG;Unterstützer;1958
DLG;ECG;Unterstützer;1958
DLG;KUB;Aufenthalt;1958
DR;ECG;Unterstützung;NA
DR;BOV;Aufenthalt;NA
ECOI;ABS;Unterstützung;NA
ECOI;ECG;Unterstützung;NA
ECOI;CHI;Aufenthalt;NA
